Tiempo,Valor
22:56:51.552423,22.0
22:57:06.552423,23.826510657588514
22:57:21.552423,24.332932875929227
22:57:36.552423,27.389340793381493
22:57:51.552423,27.97721192493944
22:58:06.552423,25.70086927747881
22:58:21.552423,26.693798550827513
22:58:36.552423,25.707750450967147
22:58:51.552423,25.20529360711337
22:59:06.552423,24.347636671743146
22:59:21.552423,22.0
22:59:36.552423,19.64340430951784
22:59:51.552423,18.814857011859885
23:00:06.552423,19.02453644279894
23:00:21.552423,19.28089564439196
23:00:36.552423,16.44545533866653
23:00:51.552423,15.487178401880048
23:01:06.552423,20.051038412458986
23:01:21.552423,20.250791526276974
23:01:36.552423,21.115246597582715
23:01:51.552423,22.0
23:02:06.552423,23.975659677760255
23:02:21.552423,26.729704322354525
23:02:36.552423,27.365302995786926
23:02:51.552423,24.31183000392751
23:03:06.552423,26.744504584050496
23:03:21.552423,27.56611796884461
23:03:36.552423,27.27713519293408
23:03:51.552423,25.73883625745352
23:04:06.552423,23.208756225399924
23:04:21.552423,22.000000000000004
23:04:36.552423,20.523778459124884
23:04:51.552423,20.34404050889658
23:05:06.552423,17.92552691481423
23:05:21.552423,17.612664507920094
23:05:36.552423,15.870663982267278
23:05:51.552423,16.853327292261273
23:06:06.552423,18.618158580022396
23:06:21.552423,20.8562343654945
23:06:36.552423,20.462240067934978
23:06:51.552423,22.0
23:07:06.552423,24.468575792126856
23:07:21.552423,26.23489245062775
23:07:36.552423,26.95723094001509
23:07:51.552423,27.379216159722944
23:08:06.552423,27.42879134460339
23:08:21.552423,28.91736202978623
23:08:36.552423,27.47018832024222
23:08:51.552423,24.77842674477115
23:09:06.552423,23.088793361158427
23:09:21.552423,22.000000000000004
23:09:36.552423,19.95605469702219
23:09:51.552423,19.60814718371563
23:10:06.552423,17.799464845383266
23:10:21.552423,18.367486268901267
23:10:36.552423,18.804051774970972
23:10:51.552423,15.802692293732871
23:11:06.552423,19.809362543888227
23:11:21.552423,18.037612994564828
23:11:36.552423,21.73466450990699
23:11:51.552423,21.999999999999996
23:12:06.552423,24.511101958427435
23:12:21.552423,24.890049888030493
23:12:36.552423,23.965049751456604
23:12:51.552423,28.690382641622975
23:13:06.552423,30.186654696751415
23:13:21.552423,24.256493704324054
23:13:36.552423,26.263866382483066
23:13:51.552423,26.46830598515901
23:14:06.552423,24.053706661634326
23:14:21.552423,22.000000000000004
23:14:36.552423,20.68407245820376
23:14:51.552423,16.31776707946185
23:15:06.552423,16.974747680740784
23:15:21.552423,17.709431577180705
23:15:36.552423,15.451707776137782
23:15:51.552423,20.31554539219051
23:16:06.552423,19.319805530298847
23:16:21.552423,20.470121432855187
23:16:36.552423,20.853123188962623
23:16:51.552423,21.999999999999993
23:17:06.552423,23.686274465946287
23:17:21.552423,24.845884189545128
23:17:36.552423,27.566873886535713
23:17:51.552423,27.08935324529466
23:18:06.552423,30.411437340104836
23:18:21.552423,29.177448098854526
23:18:36.552423,28.284711497458957
23:18:51.552423,24.28734601158537
23:19:06.552423,23.3328485008125
23:19:21.552423,22.000000000000004
23:19:36.552423,19.466025648440965
23:19:51.552423,18.83056652368952
23:20:06.552423,16.979894130279853
23:20:21.552423,18.572809940388286
23:20:36.552423,18.41064337912442
23:20:51.552423,19.828508033264487
23:21:06.552423,15.617959671271802
23:21:21.552423,17.47170619315915
23:21:36.552423,21.04626694635992
23:21:51.552423,21.999999999999993
23:22:06.552423,23.70432718037147
23:22:21.552423,25.04702731361441
23:22:36.552423,24.567506284494705
23:22:51.552423,27.85732790534063
23:23:06.552423,32.0261431818587
23:23:21.552423,26.885313684588937
23:23:36.552423,27.768744741461372
23:23:51.552423,26.247046050494532
23:24:06.552423,23.168863128724098
23:24:21.552423,21.999999999999993
23:24:36.552423,20.016041516094372
23:24:51.552423,18.4030127691478
23:25:06.552423,17.420781468519177
23:25:21.552423,15.797659466100518
